Country,Total_Cases,Total_death,New_Death,Total_Recovery,Active_Cases,Critical,CasesPerMillion,DeathPerMillion,Total_tests,Population,Lattitude,Longitude
Oman,27670,125,6,13974,13571,102,5424,25,151784,5101359,21.512583,55.923255
Iraq,27352,925,69,12205,14222,212,681,23,425192,40187366,33.223191,43.679291
Ireland,25368,1714,,22698,956,16,5139,347,396584,4935970,53.41291,-8.24389
Dominican Republic,25068,647,12,14605,9816,167,2312,60,119319,10844393,18.735693,-70.162651
Panama,24274,485,10,14359,9430,107,5629,112,102703,4312367,8.537981,-80.782127
Romania,23400,1484,11,16555,5361,184,1216,77,608771,19240762,45.943161,24.96676
Bolivia,21499,697,18,4002,16800,71,1843,60,52756,11667572,-16.290154,-63.588653
Bahrain,20916,57,2,15287,5572,36,12312,34,462627,1698868,25.930414,50.637772
Israel,20339,304,1,15586,4449,39,2211,33,804743,9197590,31.046051,34.851612
Armenia,19157,319,10,8266,10572,10,6465,108,91943,2963087,40.069099,45.038189
Nigeria,19147,487,12,6581,12079,7,93,2,108548,205934216,9.081999,8.675277
Japan,17740,935,,16008,797,62,140,7,403380,126486413,36.204824,138.252924
Austria,17271,688,,16141,442,7,1918,76,552130,9004851,47.516231,14.550072
Kazakhstan,16351,113,13,10195,6043,121,871,6,1239138,18769219,48.019573,66.923684
Moldova,13556,450,6,7525,5581,455,3360,112,63328,4034207,47.411631,28.369885
Ghana,13203,70,4,4548,8585,6,425,2,261319,31048247,7.946527,-1.023194
Serbia,12709,259,1,11511,939,18,1454,30,332342,8738259,44.016521,21.005859
Denmark,12391,600,,11282,509,6,2139,104,876344,5791610,56.26392,9.501785
South Korea,12306,280,,10835,1191,15,240,5,1158063,51267965,35.907757,127.766922
Guatemala,11868,449,17,2290,9129,5,663,25,31427,17903374,15.783471,-90.230759
Azerbaijan,11767,143,4,6325,5299,66,1161,14,403499,10136270,40.143105,47.576927
Algeria,11504,825,14,8196,2483,54,263,19,,43822095,28.033886,1.659626
